year,title,city,loc,hours,titulo
2023,Introduction to Google Earth Engine,,Online · [Imazon](https://sites.google.com/imazon.org.br/cursodeearthengine/in%C3%Adcio),10h,
2023,Orbital Image Analysis in Google Earth Engine (GEE),,Online · Solved - Soluções em Geoinformação,40h,Análise de Imagens Orbitais no Google Earth Engine (GEE)
2022,"Fundamentals of Statistics, Introduction to R Software and Machine Learning",,Online · University of São Paulo - Luiz de Queiroz College of Agriculture,30h,
2022,Automatic reports and presentations,,Online · [curso-R](https://loja.curso-r.com/relatorios-e-apresentacoes-automaticas.html),12h,Relatórios e apresentações automáticas
2022,Deploy,,Online · [curso-R](https://loja.curso-r.com/deploy-colocando-seu-trabalho-em-produc-o.html),9h,Deploy
2022,Data visualization,,Online · [curso-R](https://loja.curso-r.com/visualizac-o-de-dados.html),12h,Visualização de dados
2022,Introduction to DinamicaEGO,,Online · Federal Universisty of Minas Gerais,11h,Introdução ao Dinamica EGO
2021,IUCN Red List Methodology,,Online · conservationtraining.org and IUCN CSE Brasil tutorship,42h,
2021,"Biodiversity monitoring: data management, analysis and synthesis",,"Online · National School of Public Administration, ENAP",49h,"Monitoramento da biodiversidade: gestão, análise e síntese de dados."
2019,Introduction to Google Earth Engine,"Porto Alegre, Brazil",Ecology Departament/Federal Universisty of Rio Grande do Sul (UFRGS),40h,
2019,Reproducible Templates for Analysis and Dissemination,,Online · Coursera,24h,
2016,Environmental Dynamics Modeling with Dinamica EGO,"Belo Horizonte, Brazil",Institute of Geosciences - Federal University of Minas Gerais (UFMG),18h,Modelagem de Dinâmica Ambiental com Dinamica EGO
2015,Introduction to Marxan,"Campo Grande, Brazil",Federal University of Mato Grosso do Sul (UFMS),20h,
2012,Landscape Ecology applied to environmental diagnostics,"Nazaré Paulista, Brazil",Instituto de Pesquisas Ecológicas - IPÊ,32h,Ecologia de Paisagem aplicada a diagnósticos ambientais.
2012,Biodiversity Modeling,"Nazaré Paulista, Brazil",Instituto de Pesquisas Ecológicas - IPÊ,24h,Modelagem de Biodiversidade
2010,Remote Sensing and GIS applied to Conservation Biology,"Nazaré Paulista, Brazil",Instituto de Pesquisas Ecológicas - IPÊ,60h,Sensoriamento Remoto e SIG aplicado à Biologia da Conservação
2012,Introduction to Road Ecology,"Salvador, Brazil",International Association for Landscape Ecology (IALE-BR),17h,Introdução a Ecologia de Estradas
