year,title,city,loc,hours,titulo
2023,Introdução ao Google Earth Engine,,Online · [Imazon](https://sites.google.com/imazon.org.br/cursodeearthengine/in%C3%Adcio),10h,
2023,Análise de Imagens Orbitais no Google Earth Engine (GEE),,Online · Solved - Soluções em Geoinformação,40h,Análise de Imagens Orbitais no Google Earth Engine (GEE)
2022,"Fundamentos de Estatística, Introdução ao Software R e ao Machine Learning",,"Online · Escola Superior de Agricultura ""Luiz de Queiroz""/Universidade de São Paulo",30h,
2022,Relatórios e apresentações automáticas,,Online · [curso-R](https://loja.curso-r.com/relatorios-e-apresentacoes-automaticas.html),12h,Relatórios e apresentações automáticas
2022,Deploy,,Online · [curso-R](https://loja.curso-r.com/deploy-colocando-seu-trabalho-em-produc-o.html),9h,Deploy
2022,Visualização de dados,,Online · [curso-R](https://loja.curso-r.com/visualizac-o-de-dados.html),12h,Visualização de dados
2022,Introdução ao Dinamica EGO,,Online · Universidade Federal de Minas Gerais (UFMG),11h,Introdução ao Dinamica EGO
2021,IUCN Red List Methodology,,Online · conservationtraining.org and IUCN CSE Brasil tutorship,42h,
2021,"Monitoramento da biodiversidade: gestão, análise e síntese de dados",,"Online · Escola Nacional de Administração Pública, ENAP",49h,"Monitoramento da biodiversidade: gestão, análise e síntese de dados."
2019,Introdução ao Google Earth Engine,"Porto Alegre, Brasil",Departamento de Ecologia/Universidade Federal de Rio Grande do Sul (UFRGS),40h,
2019,Reproducible Templates for Analysis and Dissemination,,Online · Coursera,24h,
2016,Modelagem de Dinâmica Ambiental com Dinamica EGO,"Belo Horizonte, Brasil",Instituto de Geociências - Universidade Federal de Minas Gerais (UFMG),18h,Modelagem de Dinâmica Ambiental com Dinamica EGO
2015,Introduction to Marxan,"Campo Grande, Brasil",Universidade Federal do Mato Grosso do Sul (UFMS),20h,
2012,Ecologia de Paisagem aplicada a diagnósticos ambientais,"Nazaré Paulista, Brasil",Instituto de Pesquisas Ecológicas - IPÊ,32h,Ecologia de Paisagem aplicada a diagnósticos ambientais.
2012,Modelagem de Biodiversidade,"Nazaré Paulista, Brasil",Instituto de Pesquisas Ecológicas - IPÊ,24h,Modelagem de Biodiversidade
2010,Sensoriamento Remoto e SIG aplicado à Biologia da Conservação,"Nazaré Paulista, Brasil",Instituto de Pesquisas Ecológicas - IPÊ,60h,Sensoriamento Remoto e SIG aplicado à Biologia da Conservação
2012,Introdução a Ecologia de Estradas,"Salvador, Brasil",International Association for Landscape Ecology (IALE-BR),17h,Introdução a Ecologia de Estradas
