section,year,authors,title,journal,volume,link,titulo original
articles,2019,"Fries, L.C.C.; Hahn, L.; **Meneses, B.A.**; Câmara, L.F.; Becker, F.G.; Hartz, S.M.",[Movement and longitudinal distribution of a migratory fish (*Salminus brasiliensis*) in a small reservoir in southern Brazil](https://www.scielo.br/j/ni/a/mNShP5gc7nk6tFjLxPBD5nd/?lang=en),Neotropical Ichthyology,"v. 17, n. 3.",https://www.scielo.br/j/ni/a/mNShP5gc7nk6tFjLxPBD5nd/?lang=en,
articles,2010,"Becker, F.G.; Fries, L.C.C.; Guimarães, T.F.R.; **Meneses, B.A.**",[Pesquisa sobre reprodução de populações naturais de peixes no Brasil (2001-2010): um breve panorama sobre tendências e lacunas](https://www.researchgate.net/publication/255992820_Pesquisa_sobre_reproducao_de_populacoes_naturais_de_peixes_no_Brasil_2001-2010_um_breve_panorama_sobre_tendencias_e_lacunas),Boletim - Sociedade Brasileira de Ictiologia,"v. 100, p. 40-44.",https://www.researchgate.net/publication/255992820_Pesquisa_sobre_reproducao_de_populacoes_naturais_de_peixes_no_Brasil_2001-2010_um_breve_panorama_sobre_tendencias_e_lacunas,
abstract,2015,"Krob, A.; **Meneses, B.A.**; Castilho, C.S.; Ximenes, S.; Kindel, A.; Mahler Jr., J.K.",[Definição de corredores ecológicos como estratégia de proteção de importantes remanescentes de áreas úmidas e conservação do cervo-do-pantanal (*Blastocerus dichotomus*) no Rio Grande do Sul](https://www.researchgate.net/profile/Andreas-Kindel-2/publication/327733524_DEFINICAO_DE_CORREDORES_ECOLOGICOS_COMO_ESTRATEGIA_DE_PROTECAO_DE_IMPORTANTES_REMANESCENTES_DE_AREAS_UMIDAS_E_CONSERVACAO_DO_CERVO-DOPANTANAL_BLASTOCERUS_DICHOTOMUS_NO_RIO_GRANDE_DO_SUL/links/5ba1938d45851574f7d57c66/DEFINICAO-DE-CORREDORES-ECOLOGICOS-COMO-ESTRATEGIA-DE-PROTECAO-DE-IMPORTANTES-REMANESCENTES-DE-AREAS-UMIDAS-E-CONSERVACAO-DO-CERVO-DOPANTANAL-BLASTOCERUS-DICHOTOMUS-NO-RIO-GRANDE-DO-SUL.pdf),"VIII Congresso Brasileiro de Unidades de Conservação, Curitiba. Anais do VIII Congresso Brasileiro de Unidades de Conservação.",,,
abstract,2016,"**Meneses, B.A.**; Dala-Corte, R.B.; Guimarães, T.F.R.; Becker, F.G.",Pressão ambiental sobre bacias hidrográficas possui relação com ictiofauna de riachos?,"1° Reunião da ABECO e 5° Simpósio de Ecologia Teórica, Gramado.",,,
abstract,2013,"Becker, F.G.; **Meneses, B.A.**; Brack, I.V.; Lopes, K.G.D.",Uma avaliação preliminar da fragmentação de sistemas hidrográficos brasileiros e implicações para conservação da ictiofauna,"XX Encontro Brasileiro de Ictiologia, Maringá. Resumos do XX Encontro Brasileiro de Ictiologia.",,,
abstract,2013,"Fries, L.C.C.; **Meneses, B.A.**; Hahn, L.; Camara, L.F.; Becker, F.G.; Hartz, S.M.",Distribuição no espaço e movimentos de peixe migrador em ambiente alterado por usina hidrelétrica sem sistema de transposição,"XX Encontro Brasileiro de Ictiologia, Maringá. Resumos do XX Encontro Brasileiro de Ictiologia.",,,
abstract,2012,"Guimarães, T.F.R.; **Meneses, B.A.**; Ayudos, B.B.; Blum, G.B.; Schuh, G.; Fonte, L.F.M.; Borges-Martins, M.; Kindel, A.; Guadagnin, D.L.; Becker, F.G.",Do national red lists induce priorization of research on endangered species? A case study on Brazilian vertebrates,"40th Annual Meeting of the Association for Tropical Biology and Conservation, Bonito. Livro de Programação e Resumos.",,,
abstract,2012,"**Meneses, B.A.**; Castilho, C.S.; Ximenes, S.; Mahler Jr., J.K.; Kindel, A.; Krob, A.",Conectividade de áreas úmjdas utilizando o Cervo-do-pantanal como espécie alvo: uma experiência no Rio Grande do Sul,"II Congresso Brasileiro de Ecologia de Paisagens, Salvador. Anais II Congresso Brasileiro de Ecologia de Paisagens.",,,
abstract,2011,"**Meneses, B.A.**; Guimarães, T.F.R.; Becker, F.G.",Modelagem de distribuição de um peixe de riacho ameaçado de extinção como auxílio para avaliação do estado de conservação,"XIX Encontro Brasileiro de Ictiologia, Manaus. Livro de Programação e Resumos.",,,
abstract,2010,"**Meneses, B.A.**; Becker, F.G.","Modelagem de distribuição espacial de um peixe de riacho ameaçado de extinção (Mimagoniates rheocharis, Characidae)","XXII Salão de Iniciação Científica da UFRGS, Porto Alegre. Resumos XXII Salão de Iniciação Científica da UFRGS.",,,
tecnicos,2018,"Krob, A.; Martin, E.V.; Zank, C.; **Meneses, B.A.**",[2ª Atualização das Áreas Prioritárias para Conservação da Biodiversidade - Bioma Pampa](https://www.gov.br/mma/pt-br/assuntos/servicosambientais/ecossistemas-1/conservacao-1/areas-prioritarias/2a-atualizacao-das-areas-prioritarias-para-conservacao-da-biodiversidade-2018),Instituto Curicaca & Ministério do Meio Ambiente (MMA)., ,,
tecnicos,2018,"Krob, A. (Org.); Aydos, B.B.; **Meneses, B.A.**; Zank, C.; Baptista, J.; Mendes, T.; Bohrer, P.; Mello, G.; Rosa, H.; Mansur, D.; Santos, R.; Berthier, N.; Missau, L.; Vanin, A.; Almeida, T.; Paesi, R.; Miranda, E.",[Plano de Uso Público do Parque Estadual de Itapeva: Documento Base](https://www.sema.rs.gov.br/upload/arquivos/201805/14153608-pup-peva-doc-base-final.pdf),Instituto Curicaca & Secretaria do Ambiente e Desenvolvimento Sustentável do Rio Grande do Sul - SEMA/RS.,78p.,,
tecnicos,2016,"Krob, A. (Org.); Pinheiro, P.; **Meneses, B.A.**; Gonçalves, J.; Kindel, A.; Reck, M.A.",[Corredor ecológico da Quarta Região](https://www.sema.rs.gov.br/corredor-ecologico-da-quarta-colonia),Instituto Curicaca & RS Biodiversidade.,90p.,,
tecnicos,2015,"Krob, A. (Org.); **Meneses, B.A.**; Paulsen, R.K.; Barcelos, F.; Kindel, A.",[Delimitação e Planejamento para Implantação de Corredores Ecológicos na Zona de Amortecimento do Parque Estadual do Espinilho no âmbito do Projeto RS Biodiversidade](https://sema.rs.gov.br/upload/arquivos/201803/07152601-produto-3-relatorio-final.pdf),Instituto Curicaca & Secretaria do Ambiente e Desenvolvimento Sustentável do Rio Grande do Sul - SEMA/RS.,65p.,,
